Title,ShortTitle,2018,2017,2016,2015,2014,2013,2012,2011
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,37.26,18.18,12.72,6.19,5.05,5.25,3.23,2.09
Journal of Statistical Software,JSS,25.02,16.32,7.71,5.02,6.37,7.12,4.93,4.59
IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,19.67,12.75,13.29,12.66,11.05,11.8,10.09,8.89
Foundations and Trends in Machine Learning,FTML,19,10.9,10,17.3,16,31.8,15.82,8.5
Proceedings of the IEEE International Conference on Computer Vision,ICCV,16.64,11.67,9.92,3.9,2.49,3.16,1.64,2.54
