,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,GEOGID,MALE2011,FEMALE2011,TOTAL2011,PPOCC2011,UNOCC2011,VACANT2011,HS2011,PCVAC20111,LAND_AREA,TOTAL_AREA,CREATEDATE,geometry
24,IE0,Ireland,IE01,"Border,Midland and Western",IE012,Midland,9,Longford County,C09,19649,19351,39000,14460,4363,4075,18823,21.6,1039.52694,1091.55091,27-03-2012,MULTIPOLYGON (((223420.6 29...
,,,,,,,,,,,,,,,,,,,,,
25,IE0,Ireland,IE01,"Border,Midland and Western",IE011,Border,10,Louth County,C10,60763,62134,122897,44060,7126,6232,51186,12.2,823.58252,827.01216,27-03-2012,MULTIPOLYGON (((306570.4 30...
,,,,,,,,,,,,,,,,,,,,,
26,IE0,Ireland,IE02,Southern and Eastern,IE022,Mid-East,11,Meath County,C11,91910,92225,184135,62085,7612,6173,69697,8.9,2331.92743,2343.05686,27-03-2012,MULTIPOLYGON (((283537.7 29...
,,,,,,,,,,,,,,,,,,,,,
27,IE0,Ireland,IE01,"Border,Midland and Western",IE012,Midland,12,Offaly County,C12,38430,38257,76687,26630,4120,3620,30750,11.8,1994.97937,2000.89278,27-03-2012,MULTIPOLYGON (((256587 2399...
,,,,,,,,,,,,,,,,,,,,,
28,IE0,Ireland,IE01,"Border,Midland and Western",IE012,Midland,13,Westmeath County,C13,42783,43381,86164,30890,5769,4921,36659,13.4,1755.97915,1839.10532,27-03-2012,MULTIPOLYGON (((243421.9 28...
,,,,,,,,,,,,,,,,,,,,,
29,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),14,Wexford County,C14,71909,73411,145320,52580,15563,14329,68143,21,2353.20206,2370.81492,27-03-2012,MULTIPOLYGON (((279986.1 10...
,,,,,,,,,,,,,,,,,,,,,
30,IE0,Ireland,IE02,Southern and Eastern,IE022,Mid-East,15,Wicklow County,C15,67542,69098,136640,47711,6640,5377,54351,9.9,1999.52142,2025.85181,27-03-2012,MULTIPOLYGON (((302795.7 22...
,,,,,,,,,,,,,,,,,,,,,
31,IE0,Ireland,IE02,Southern and Eastern,IE023,Mid-West,16,Clare County,C16,58298,58898,117196,42820,12796,11782,55616,21.2,3159.21298,3450.04579,27-03-2012,MULTIPOLYGON (((127054.5 21...
,,,,,,,,,,,,,,,,,,,,,
32,IE0,Ireland,IE02,Southern and Eastern,IE025,South-West (IE),17,Cork City,C17,58812,60418,119230,47588,8045,6168,55633,11.1,38.59787,39.60641,27-03-2012,MULTIPOLYGON (((167201 7528...
,,,,,,,,,,,,,,,,,,,,,
33,IE0,Ireland,IE02,Southern and Eastern,IE025,South-West (IE),18,Cork County,C18,198658,201144,399802,141237,30805,27161,172042,15.8,7402.87968,7464.6034,27-03-2012,MULTIPOLYGON (((44217.41 37...
,,,,,,,,,,,,,,,,,,,,,
34,IE0,Ireland,IE02,Southern and Eastern,IE025,South-West (IE),19,Kerry County,C19,72629,72873,145502,53753,20994,19719,74747,26.4,4678.88872,4807.52217,27-03-2012,MULTIPOLYGON (((18146.05 95...
,,,,,,,,,,,,,,,,,,,,,
